Brand, Name, Price, Shipping, Promotions, Rating, Reviewers
Westinghouse,Westinghouse WC27PX9019 27" Full HD 1920 x 1080 144Hz 5ms 2xHDMI DisplayPort AMD FreeSync Technology Flicker-Free USB 3.0 Hub Low Blue Light Eye Care Widescreen Backlit LED Curved Gaming Monitor,$229.99,Free Shipping,+ $20 off w/ promo code 93XPL49 limited offer,4,8
Acer America,Acer Gaming Series ED323QUR Abidpx 32" (Actual size 31.5") 2560 x 1440 2K Resolution 144Hz 4ms DisplayPort HDMI DVI AMD FreeSync LED Backlit Curved Gaming Monitor,$379.99,$4.99 Shipping,,4,45
ASUS,ASUS TUF GAMING VG27WQ 27" WQHD 2560 x 1440 (2K) 1ms (MPRT) 165Hz (Max) HDMI DisplayPort FreeSync DisplayHDR 400 Built-in Speakers Curved Gaming Monitor,$399.99,$4.99 Shipping,+ $25 off w/ promo code 6BGSALE68 limited offer,4,72
Acer America,Acer ED270R 27" Black 1920 x 1080 Widescreen 16:9 165Hz Refresh Rate AMD FreeSync Premium Technology 2x HDMI DisplayPort Curved LED Gaming Monitor,$249.99,$4.99 Shipping,,3,3
MSI,MSI Optix G27C4 27" Full HD 1920 x 1080 1ms (MPRT) 165 Hz HDMI DisplayPort AMD FreeSync Curved Gaming Monitor,$397.99,Free Shipping,,5,100
SAMSUNG,Samsung CFG73 Series C27FG73 27" 1920 x 1080 Full HD 1ms 144Hz 2 x HDMI DisplayPort AMD FreeSync Flicker-Free QLED Curved Gaming Monitor,$349.99,$4.99 Shipping,,4,6
GIGABYTE,GIGABYTE G32QC 32" (Actual size 31.5") WQHD 2560 x 1440 (2K) 1 ms (MPRT) 165 Hz HDMI DisplayPort USB G-Sync Compatible Ready FreeSync Premium Pro Curved Gaming Monitor,$369.99,$4.99 Shipping,,4,91
Westinghouse,Westinghouse WC32PX9019 32" Full HD 1920 x 1080 144Hz 5ms 2xHDMI DisplayPort USB 3.0 Hub AMD FreeSync Technology Flicker-Free Low Blue Light Filter Widescreen Backlit LED Curved Gaming Monitor,$299.99,$4.99 Shipping,,4,5
Viotek,Viotek GN27D 27" WQHD 2560 x1440 144Hz 1800R Curved Gaming Monitor w/ Built-in Speakers,$299.99,Free Shipping,,4,44
Sceptre,SCEPTRE C275B-144RN 27" Full HD 1920 x 1080 144Hz 3ms 2 x HDMI DisplayPort AMD FreeSync Edge-Less LED Backlit Curved Gaming Monitor,$369.97,Free Shipping,,5,20
AOC Monitors,AOC Gaming C32G1 31.5" curved gaming monitor Full HD 1920x1080 1800R curved VA panel 50M:1 DCR 1ms (MPRT) AMD FreeSync 144Hz 3-sided frameless DisplayPort/HDMI/VGA VESA compatible,$307.55,$47.66 Shipping,,4,26
ViewSonic,ViewSonic VX3258-2KC-MHD 32" WQHD 2560 x 1440 2K 5ms 144Hz 2x HDMI 2x DisplayPort AMD FreeSync Anti-Glare LED Backlit Curved Gaming Monitor,$320.33,$39.71 Shipping,,4,13
